conf,size,kind,ctx,n,react_1,min_per,held24,far|0.5atr,far|1atr,far|gap,ce|0.5atr,ce|1atr,ext|1atr,ext|2R,ext-0.25atr|1atr,best_exit,best_exit_minEV,best_exit_EV
A,0.5,bull,тренд,300,53.0,47.674418604651166,49.333333333333336,-0.01615258554826207,-0.0355380313252377,-0.0032782652507536625,-0.03496420783096923,-0.011147360912780862,-0.033061933207375625,-0.23816594031909025,-0.03560639802374949,far|1atr,-0.13215410401196423,-0.0355380313252377
A,0.5,bull,EMA200,255,55.294117647058826,50.0,51.76470588235295,0.02142116351999402,0.004658423970795021,0.06594645527757102,-0.029534289715890324,-0.011640967036153622,0.010004843639505623,-0.26060878450520475,-0.010848197623993767,far|gap,-0.09035815100980318,0.06594645527757102
A,0.5,bull,свежий≤24ч,248,52.82258064516129,44.61538461538462,52.41935483870967,0.023714941079089315,-0.01713342094809337,0.06658006681020437,0.013554820687957493,0.04240421071989137,0.07926031047627546,-0.2668463804050083,-0.003676355396223173,far|gap,-0.09747590699631498,0.06658006681020437
A,0.5,bull,не выходные,276,51.08695652173913,46.51162790697674,49.275362318840585,-0.019413225991969565,-0.059962992156784016,-0.021291689434700244,-0.04062637939360053,-0.025877301135663677,-0.015570999750735927,-0.21900828238515974,-0.08187118348616122,far|gap,-0.10934846935381172,-0.021291689434700244
A,0.5,bull,заход<50%,292,52.73972602739726,49.411764705882355,50.0,-0.025992100056919508,-0.03543143918168836,0.017249532493436793,-0.07250680055616687,-0.02313730408290398,-0.029561121277440816,-0.32606539084042435,-0.039028846003560116,far|1atr,-0.09772748942154355,-0.03543143918168836
A,0.5,bull,объём≥1.5x,233,54.077253218884124,47.2972972972973,53.21888412017167,-0.015880144273895322,-0.041691588551202724,-0.018638330560680087,-0.034898353367479484,-0.02390210418754692,0.03664212677475535,-0.21965935375874826,-0.05428627306421715,far|gap,-0.12131288432087833,-0.018638330560680087
A,0.5,bull,сессия Asia,104,50.0,44.11764705882353,48.07692307692308,-0.08075005170373907,-0.08745106621796353,-0.0015582114803783925,-0.04174392590104005,-0.04473909842708605,-0.08756573062169785,-0.5009639542586777,-0.0975230512598443,far|gap,-0.12414628508110957,-0.0015582114803783925
A,0.5,bull,сессия NY,115,53.91304347826087,48.888888888888886,57.391304347826086,-0.018720228607394,0.010320153717385138,0.00675072689690479,-0.04207156537154474,0.06229022717464864,0.24721542953967685,-0.034696177058106084,0.03633598990639152,far|gap,-0.05287990893019767,0.00675072689690479
A,0.5,bear,—,326,49.38650306748466,39.285714285714285,51.84049079754601,0.03795614193134524,-0.048162734370496826,-0.03092532807628349,0.008283925451124325,-0.0112218471115988,-0.04379196870934097,-0.17336143063265214,-0.05063612764188552,ce|0.5atr,-0.031746424526518886,0.008283925451124325
A,0.5,bear,тренд,283,49.11660777385159,35.82089552238806,51.9434628975265,0.0350017987021774,-0.0621823091964781,-0.056295677866448623,0.0028238695997981097,-0.008609269530241288,-0.09942131494124741,-0.17735890198625337,-0.08324935997555108,far|0.5atr,-0.036374906121843395,0.0350017987021774
A,0.5,bear,EMA200,224,47.767857142857146,40.42553191489361,52.67857142857143,0.029877282193267275,-0.08685958111609364,-0.08021724883269932,-0.006817240822277657,-0.015666038668352363,-0.09306556304375302,-0.17490643264706063,-0.0596655177362479,far|0.5atr,-0.0032666650709869626,0.029877282193267275
A,0.5,bear,свежий≤24ч,235,48.93617021276596,41.935483870967744,50.212765957446805,0.03497587026431343,-0.050906296594939345,-0.027637963474357218,0.009418883739358626,0.011406184276282382,0.02390849137391469,-0.15425844645307224,-0.0007310003636165896,far|0.5atr,-0.013533129874581247,0.03497587026431343
A,0.5,bear,не выходные,257,48.63813229571984,36.666666666666664,50.97276264591439,0.039628958171527846,-0.06213828369006018,-0.057460809640178266,-0.015801255014660696,-0.03747612968245349,-0.14781822254575896,-0.1630884347734019,-0.07853852759518702,far|0.5atr,0.009622068169593656,0.039628958171527846
A,0.5,bear,заход<50%,297,50.841750841750844,40.50632911392405,53.535353535353536,0.06384685075833803,-0.020322023721140118,-0.010142377289171002,0.05697068787613294,0.033096796423722506,-0.0018969715315850886,-0.15404358617088376,-0.01898868451696866,far|0.5atr,0.013599738498330247,0.06384685075833803
A,0.5,bear,объём≥1.5x,246,50.40650406504065,37.735849056603776,54.47154471544715,-0.0001322884640942845,-0.06412598469346494,-0.04493473778941561,-0.019599904629769523,-0.03624149592410596,-0.2207319530958555,-0.2168791250644911,-0.058850990271849084,far|0.5atr,-0.1235880757138738,-0.0001322884640942845
A,0.5,bear,сессия Asia,93,47.31182795698925,41.66666666666667,47.31182795698925,0.07222915138011815,-0.06539942849607039,-0.05034891764953022,0.03233643820731638,0.022098117371834966,-0.014405924779957694,-0.09753075883602262,-0.15764622120167215,far|0.5atr,0.0311718269509669,0.07222915138011815
A,0.5,bear,сессия NY,126,50.0,40.625,53.17460317460318,-0.032342872773074224,-0.0454627067139384,-0.052132925163733475,-0.08381927544367254,0.013321333026074496,0.14070614957244335,0.020089485478095293,0.014936398582727278,ce|0.5atr,-0.12405518518571348,-0.08381927544367254
A,0.75,оба,—,384,56.25,53.205128205128204,61.71875,0.011372470609903393,-0.044756324746602516,-0.019602159645771233,0.006977692016513669,-0.015445803895109902,-0.0982307321470976,-0.21527838492991114,-0.06097231235073328,far|0.5atr,-0.07368017320407703,0.011372470609903393
A,0.75,оба,тренд,350,55.714285714285715,52.083333333333336,61.42857142857143,0.006781105316413826,-0.06248400473532525,-0.03555872331120691,0.002015566692582362,-0.03293484694596737,-0.13984130110608503,-0.2252032945654286,-0.07203669528765763,far|0.5atr,-0.08153904999180711,0.006781105316413826
A,0.75,оба,EMA200,283,57.95053003533569,54.21686746987952,63.957597173144876,0.030509296242445097,-0.022828071001785532,0.002163436281413118,0.006850701594318081,0.006598804370190606,-0.011141830988296974,-0.22668306723167667,-0.014709657591863521,far|0.5atr,-0.03687606158848232,0.030509296242445097
A,0.75,оба,свежий≤24ч,274,59.12408759124088,51.388888888888886,65.32846715328468,0.05117339658461146,0.01569529732544431,0.03275577622732078,0.08185584155864177,0.11795818287168272,0.0891091904070639,-0.1755656548141412,0.07345816293672518,ce|0.5atr,0.008429315692960656,0.08185584155864177
A,0.75,оба,не выходные,312,53.84615384615385,51.515151515151516,59.294871794871796,-0.016426428202134514,-0.08840593124064504,-0.07487213850882043,-0.036654917028569524,-0.07205171617549364,-0.11357158691382703,-0.20024438263177968,-0.12159063055063449,far|0.5atr,-0.0744201040012486,-0.016426428202134514
A,0.75,оба,заход<50%,352,57.10227272727273,53.42465753424658,62.5,0.016706390141932356,-0.03165825228974477,-0.004917071227869153,0.015663377886742467,-0.011163136046661264,-0.09693945686048132,-0.23922998472821388,-0.051102720377066514,far|0.5atr,-0.08263936879673163,0.016706390141932356
A,0.75,оба,объём≥1.5x,328,55.79268292682927,53.62318840579711,60.97560975609756,-0.011834221786259572,-0.06985397480350349,-0.04684652148828398,-0.03784454252203835,-0.09433527766218168,-0.16894719145743795,-0.24531916406077292,-0.13293136414298193,far|0.5atr,-0.09528897722105326,-0.011834221786259572
A,0.75,оба,сессия Asia,113,57.52212389380531,50.0,58.4070796460177,0.01915056082666935,-0.0039836855683872035,-0.013020502270748075,0.05109542335439585,0.04654372773259871,-0.04852917759748035,-0.36293745885410955,-0.11441952223692929,ce|0.5atr,-0.0661559458430422,0.05109542335439585
A,0.75,оба,сессия NY,143,53.14685314685315,48.837209302325576,65.03496503496503,-0.03585413657731526,-0.09454457965959737,-0.050624883669307,-0.04292953355157863,-0.06217308657390365,-0.03911650449757547,-0.028791533904558728,-0.07732445752088603,far|0.5atr,-0.07482422071675356,-0.03585413657731526
A,0.75,bull,—,207,57.48792270531401,48.4375,59.42028985507246,-0.012033011351845316,-0.026197607083045693,0.01015412374504582,-0.029689559090735708,-0.010569345695788627,0.06093659260424437,-0.26646392251135903,-0.006187441281309593,far|gap,-0.12939456311581402,0.01015412374504582
A,0.75,bull,тренд,190,57.36842105263158,47.368421052631575,58.94736842105262,-0.011034788076487,-0.03834989642596584,0.0028661654204562874,-0.024353679173837094,-0.022808896863527987,-0.0011671208561807962,-0.27483152712398956,-0.008727896805312827,far|gap,-0.1603186657135204,0.0028661654204562874
A,0.75,bull,EMA200,157,62.42038216560509,51.162790697674424,62.42038216560509,0.033357136662220996,0.051885774911259265,0.09213064360439668,6.040244430283665e-05,0.037975460984988454,0.17702777869871625,-0.2910238493041632,0.05807802488912941,far|gap,-0.055319866019139054,0.09213064360439668
A,0.75,bull,свежий≤24ч,146,62.328767123287676,44.73684210526316,66.43835616438356,0.060831249488839896,0.06819519162791628,0.10721731884600193,0.08290381223320256,0.1507669401459503,0.3037968794858009,-0.25343040899242436,0.13072703238110076,ce|0.5atr,-0.06906182327286976,0.08290381223320256
A,0.75,bull,не выходные,171,54.97076023391813,45.45454545454545,57.30994152046783,-0.03318412432864268,-0.07340227608953265,-0.043196560912330435,-0.04922166743336484,-0.05161950560340921,0.03818916292702723,-0.20435792962825872,-0.06736128227203474,far|0.5atr,-0.16335398522895617,-0.03318412432864268
A,0.75,bull,заход<50%,184,59.2391304347826,51.78571428571429,60.32608695652174,-0.010994885900326235,0.001246096087285262,0.040336831200559496,-0.02512786100389824,0.011027223618389847,0.09007602040165516,-0.29517129918769286,0.01936683049166969,far|gap,-0.10195627706308076,0.040336831200559496
A,0.75,bull,объём≥1.5x,173,56.06936416184971,49.2063492063492,57.80346820809249,-0.020183852943664194,-0.07017990995406907,-0.036028323934692456,-0.07278501043858868,-0.1164972573850843,-0.012117134662891629,-0.25355596354794624,-0.09736631005872001,far|1atr,-0.18951416013004743,-0.07017990995406907
A,0.75,bull,сессия Asia,63,58.730158730158735,47.61904761904761,57.14285714285714,-0.05226996376162902,-0.00040850389603683214,0.017164821067004336,-0.010059035231205469,0.013145102907609906,0.13219546205024424,-0.5620096213881937,-0.043127766322555036,ext|1atr,-0.057006211256396946,0.13219546205024424
A,0.75,bull,сессия NY,74,54.054054054054056,46.42857142857143,64.86486486486487,-0.0135346767997988,-0.06201929787527089,-0.013468304497704173,-0.035451627421661656,-0.03947032174547755,0.11302551215889028,-0.03857512256906769,-0.016954982104635,far|0.5atr,-0.14068779480684762,-0.0135346767997988
A,0.75,bear,—,177,54.80225988700565,43.90243902439025,64.40677966101694,0.038744983412626444,-0.06646058777686387,-0.054401880899438614,0.04985973144702566,-0.021148780433299208,-0.2843755695681585,-0.15541733250415002,-0.12504275478785595,ce|0.5atr,0.01740556022112534,0.04985973144702566
A,0.75,bear,тренд,160,53.75,41.17647058823529,64.375,0.027937478720483595,-0.09114325835268954,-0.08118827868005696,0.03332904615895544,-0.04495941266886413,-0.30451689015284633,-0.16626976840213747,-0.147215893485442,ce|0.5atr,0.01330725188613802,0.03332904615895544
A,0.75,bear,EMA200,126,52.38095238095239,43.47826086956522,65.87301587301587,0.026960796671771967,-0.11592389487756358,-0.10993856014484417,0.015311629900289466,-0.03249750585618449,-0.24560713829671826,-0.14651241020484818,-0.1054054206832594,far|0.5atr,-0.0014741700582199752,0.026960796671771967
A,0.75,bear,свежий≤24ч,128,55.46875,47.05882352941176,64.0625,0.04015740811572588,-0.04418739461331278,-0.05217692082211237,0.08066050000797086,0.08053569410572138,-0.15576895494837042,-0.08675116957953699,0.0081358587267342,ce|0.5atr,0.050070434971151594,0.08066050000797086
A,0.75,bear,не выходные,141,52.4822695035461,35.714285714285715,61.702127659574465,0.0038967351853328187,-0.10660185344518561,-0.11328720070030833,-0.021414389941902874,-0.0968312055927024,-0.29762185799741625,-0.1952556128700924,-0.18735813803744697,ce|0.5atr,-0.0571007819560534,-0.021414389941902874
A,0.75,bear,заход<50%,168,54.761904761904766,43.58974358974359,64.88095238095238,0.047045882950120334,-0.06769634813125389,-0.05448086912567198,0.06033949667172991,-0.03546686329886018,-0.301765931957107,-0.17796092603449887,-0.12828365704282524,ce|0.5atr,0.005367430213847611,0.06033949667172991
A,0.75,bear,объём≥1.5x,155,55.483870967741936,40.0,64.51612903225806,-0.0025149560428337453,-0.06949018911932385,-0.058921025854550564,0.0011535281203048726,-0.06959964868113552,-0.3439897709765123,-0.23612583302025048,-0.17262655354025497,ce|0.5atr,-0.07874021711474524,0.0011535281203048726
A,0.75,bear,сессия NY,69,52.17391304347826,46.666666666666664,65.21739130434783,-0.059790948512622795,-0.12942676592104888,-0.09047396857798251,-0.050949316937286625,-0.08652097928844749,-0.20228330496972705,-0.018298989539722997,-0.14206853260498128,far|0.5atr,-0.10684292973549409,-0.059790948512622795
A,1.0,оба,—,230,59.130434782608695,55.072463768115945,65.21739130434783,0.014026244126238551,-0.06736333207100384,-0.03662180309081466,0.016579094467432214,-0.0679578714771527,-0.2483281788373282,-0.23488495380134222,-0.10458318071934077,far|0.5atr,-0.04185308344022991,0.014026244126238551
A,1.0,оба,тренд,213,59.154929577464785,53.125,65.25821596244131,0.01391471986635448,-0.07241477136499716,-0.04765457573930105,0.03014266679264735,-0.0478142878425146,-0.18912661500001013,-0.19032894966161418,-0.06580668152073775,far|0.5atr,-0.04457882949198389,0.01391471986635448
A,1.0,оба,EMA200,173,61.849710982658955,54.90196078431373,67.05202312138728,0.04259212614607975,-0.02936870559432945,-0.0005331286020492229,0.042588169339445286,-0.018584404533390348,-0.045314873854172835,-0.19004296099460183,-0.007534582872279932,far|0.5atr,0.011280270997384857,0.04259212614607975
A,1.0,оба,свежий≤24ч,161,62.11180124223602,51.162790697674424,68.94409937888199,0.040256938194388456,-0.01747924648140968,0.005794148109094374,0.09343905369827685,0.047421091993564174,-0.13011245355743892,-0.21847467938229462,-0.002971771883669505,ce|0.5atr,0.04243454699283081,0.09343905369827685
A,1.0,оба,не выходные,194,54.63917525773196,50.847457627118644,62.371134020618555,-0.030173527569704806,-0.14021691597466182,-0.11614188554260725,-0.05349055354083648,-0.14700556618632163,-0.2419792701647156,-0.24821488008728027,-0.18381912777713957,far|0.5atr,-0.07503373426074444,-0.030173527569704806
