conf,size_min,depth_max,trend,kind,n,react_1,react_05,held24,win_1ATR,avgR_1ATR,avgR_2R,risk_med,rr_med
0 ,0.75,1.01,True,оба,410,52.4,68.0,55.6,17.6,-1.309,-1.595,0.35,5.84
0 ,0.75,1.01,True,bull,225,53.8,67.1,53.3,18.7,-1.803,-2.286,0.39,5.24
0 ,0.75,1.01,True,bear,185,50.8,69.2,58.4,16.2,-0.71,-0.758,0.31,6.95
0 ,1.0,0.25,False,оба,220,59.1,75.9,63.6,14.5,-0.829,-1.039,0.33,6.17
0 ,1.0,0.25,False,bull,119,58.0,74.8,59.7,16.8,-0.677,-1.3,0.34,5.92
0 ,1.0,0.25,False,bear,101,60.4,77.2,68.3,11.9,-1.008,-0.733,0.3,6.82
0 ,1.0,0.25,True,оба,201,59.7,76.1,64.2,15.9,-0.666,-0.927,0.35,5.72
0 ,1.0,0.25,True,bull,112,58.9,75.9,59.8,17.9,-0.541,-1.257,0.35,5.72
0 ,1.0,0.25,True,bear,89,60.7,76.4,69.7,13.5,-0.823,-0.51,0.35,5.78
0 ,1.0,0.5,False,оба,250,59.2,75.2,62.8,16.0,-0.878,-1.08,0.35,5.78
0 ,1.0,0.5,False,bull,141,58.2,73.0,59.6,17.7,-0.871,-1.406,0.38,5.54
0 ,1.0,0.5,False,bear,109,60.6,78.0,67.0,13.8,-0.887,-0.658,0.32,6.53
0 ,1.0,0.5,True,оба,230,60.0,75.7,63.5,17.4,-0.724,-0.971,0.37,5.38
0 ,1.0,0.5,True,bull,133,59.4,74.4,60.2,18.8,-0.74,-1.353,0.4,5.28
0 ,1.0,0.5,True,bear,97,60.8,77.3,68.0,15.5,-0.703,-0.445,0.36,5.65
0 ,1.0,1.01,False,оба,266,57.9,73.7,60.5,16.5,-0.869,-1.069,0.36,5.62
0 ,1.0,1.01,False,bull,155,56.1,71.0,56.1,18.1,-0.859,-1.373,0.4,5.25
0 ,1.0,1.01,False,bear,111,60.4,77.5,66.7,14.4,-0.882,-0.642,0.32,6.5
0 ,1.0,1.01,True,оба,246,58.5,74.0,61.0,17.9,-0.724,-0.965,0.39,5.2
0 ,1.0,1.01,True,bull,147,57.1,72.1,56.5,19.0,-0.739,-1.323,0.41,4.78
0 ,1.0,1.01,True,bear,99,60.6,76.8,67.7,16.2,-0.701,-0.432,0.36,5.65
A ,0.3,0.25,False,оба,618,48.7,67.5,46.6,18.1,-0.136,-0.363,0.37,6.0
A ,0.3,0.25,False,bull,308,49.4,66.9,45.5,17.9,-0.193,-0.366,0.4,5.46
A ,0.3,0.25,False,bear,310,48.1,68.1,47.7,18.4,-0.079,-0.359,0.34,6.75
A ,0.3,0.25,True,оба,520,48.3,68.1,46.5,17.3,-0.207,-0.352,0.38,5.68
A ,0.3,0.25,True,bull,258,48.4,67.1,44.6,17.1,-0.284,-0.371,0.4,5.29
A ,0.3,0.25,True,bear,262,48.1,69.1,48.5,17.6,-0.132,-0.333,0.37,6.33
A ,0.3,0.5,False,оба,837,47.3,65.9,45.2,21.4,-0.098,-0.283,0.45,4.97
A ,0.3,0.5,False,bull,418,48.6,65.3,44.0,21.5,-0.136,-0.311,0.48,4.64
A ,0.3,0.5,False,bear,419,46.1,66.6,46.3,21.2,-0.06,-0.256,0.42,5.34
A ,0.3,0.5,True,оба,698,47.4,67.0,45.6,21.3,-0.129,-0.268,0.46,4.8
A ,0.3,0.5,True,bull,353,48.2,65.4,43.6,21.5,-0.184,-0.313,0.49,4.42
A ,0.3,0.5,True,bear,345,46.7,68.7,47.5,21.2,-0.072,-0.221,0.42,5.18
A ,0.3,1.01,False,оба,978,45.9,64.6,43.8,23.1,-0.114,-0.264,0.51,4.36
A ,0.3,1.01,False,bull,501,47.5,64.7,43.7,24.4,-0.126,-0.262,0.56,3.91
A ,0.3,1.01,False,bear,477,44.2,64.6,43.8,21.8,-0.101,-0.267,0.47,4.7
A ,0.3,1.01,True,оба,822,46.4,65.5,44.2,23.5,-0.131,-0.249,0.52,4.19
A ,0.3,1.01,True,bull,428,47.4,64.5,43.0,24.8,-0.159,-0.262,0.57,3.63
A ,0.3,1.01,True,bear,394,45.2,66.5,45.4,22.1,-0.1,-0.235,0.48,4.61
A ,0.5,0.25,False,оба,456,51.8,71.3,52.2,19.1,-0.083,-0.33,0.4,5.54
A ,0.5,0.25,False,bull,226,53.5,70.4,51.8,19.5,-0.069,-0.405,0.45,5.18
A ,0.5,0.25,False,bear,230,50.0,72.2,52.6,18.7,-0.096,-0.256,0.37,6.28
A ,0.5,0.25,True,оба,398,51.8,72.1,51.8,18.8,-0.161,-0.325,0.41,5.37
A ,0.5,0.25,True,bull,195,54.4,71.8,51.3,20.0,-0.096,-0.378,0.45,4.97
A ,0.5,0.25,True,bear,203,49.3,72.4,52.2,17.7,-0.223,-0.275,0.37,6.09
A ,0.5,0.5,False,оба,589,51.8,71.3,51.8,23.4,-0.016,-0.239,0.49,4.55
A ,0.5,0.5,False,bull,292,52.7,69.5,50.0,23.6,-0.03,-0.326,0.52,4.23
A ,0.5,0.5,False,bear,297,50.8,73.1,53.5,23.2,-0.002,-0.154,0.45,4.9
A ,0.5,0.5,True,оба,512,52.0,72.3,51.8,23.6,-0.061,-0.233,0.49,4.41
A ,0.5,0.5,True,bull,255,53.7,71.0,50.2,24.3,-0.052,-0.3,0.54,3.92
A ,0.5,0.5,True,bear,257,50.2,73.5,53.3,23.0,-0.069,-0.166,0.44,4.83
A ,0.5,1.01,False,оба,668,50.6,70.4,50.6,25.1,-0.034,-0.219,0.56,4.02
A ,0.5,1.01,False,bull,342,51.8,69.6,49.4,26.6,-0.025,-0.262,0.59,3.57
A ,0.5,1.01,False,bear,326,49.4,71.2,51.8,23.6,-0.044,-0.173,0.49,4.49
A ,0.5,1.01,True,оба,583,51.1,71.0,50.6,25.7,-0.065,-0.209,0.58,3.92
A ,0.5,1.01,True,bull,300,53.0,70.7,49.3,27.7,-0.033,-0.238,0.61,3.2
A ,0.5,1.01,True,bear,283,49.1,71.4,51.9,23.7,-0.099,-0.177,0.49,4.47
A ,0.75,0.25,False,оба,286,55.6,74.8,61.5,18.9,-0.184,-0.357,0.44,4.9
A ,0.75,0.25,False,bull,149,58.4,75.2,59.7,20.1,0.069,-0.376,0.46,4.68
A ,0.75,0.25,False,bear,137,52.6,74.5,63.5,17.5,-0.458,-0.337,0.41,5.15
A ,0.75,0.25,True,оба,262,55.0,75.2,61.1,19.1,-0.229,-0.349,0.43,4.82
A ,0.75,0.25,True,bull,136,58.1,75.7,58.8,20.6,-0.009,-0.378,0.45,4.53
A ,0.75,0.25,True,bear,126,51.6,74.6,63.5,17.5,-0.467,-0.317,0.4,5.16
A ,0.75,0.5,False,оба,352,57.1,75.9,62.5,24.1,-0.097,-0.239,0.51,4.12
A ,0.75,0.5,False,bull,184,59.2,74.5,60.3,25.0,0.09,-0.295,0.54,3.91
A ,0.75,0.5,False,bear,168,54.8,77.4,64.9,23.2,-0.302,-0.178,0.48,4.47
A ,0.75,0.5,True,оба,321,56.4,75.7,62.0,24.0,-0.145,-0.251,0.49,4.1
A ,0.75,0.5,True,bull,170,58.8,74.7,59.4,25.3,0.015,-0.303,0.54,3.7
A ,0.75,0.5,True,bear,151,53.6,76.8,64.9,22.5,-0.325,-0.192,0.45,4.5
A ,0.75,1.01,False,оба,384,56.2,75.5,61.7,25.8,-0.098,-0.215,0.58,3.87
A ,0.75,1.01,False,bull,207,57.5,74.4,59.4,26.6,0.061,-0.266,0.58,3.16
A ,0.75,1.01,False,bear,177,54.8,76.8,64.4,24.9,-0.284,-0.155,0.5,4.18
A ,0.75,1.01,True,оба,350,55.7,75.4,61.4,25.7,-0.14,-0.225,0.55,3.87
A ,0.75,1.01,True,bull,190,57.4,74.7,58.9,26.8,-0.001,-0.275,0.59,3.01
A ,0.75,1.01,True,bear,160,53.8,76.2,64.4,24.4,-0.305,-0.166,0.48,4.29
A ,1.0,0.25,False,оба,184,59.2,78.8,66.3,18.5,-0.305,-0.307,0.45,4.52
A ,1.0,0.25,False,bull,100,60.0,80.0,63.0,20.0,-0.028,-0.369,0.47,4.6
A ,1.0,0.25,False,bear,84,58.3,77.4,70.2,16.7,-0.636,-0.234,0.44,4.47
A ,1.0,0.25,True,оба,170,59.4,79.4,66.5,20.0,-0.217,-0.237,0.45,4.45
A ,1.0,0.25,True,bull,95,60.0,80.0,62.1,21.1,0.036,-0.323,0.47,4.49
A ,1.0,0.5,False,оба,213,60.1,78.9,66.2,22.5,-0.242,-0.239,0.51,4.02
A ,1.0,0.5,False,bull,117,59.8,77.8,62.4,23.1,-0.038,-0.361,0.51,4.1
A ,1.0,0.5,False,bear,96,60.4,80.2,70.8,21.9,-0.491,-0.091,0.53,4.01
A ,1.0,0.5,True,оба,196,60.2,79.1,66.3,23.5,-0.177,-0.191,0.51,4.01
A ,1.0,0.5,True,bull,112,59.8,77.7,61.6,24.1,0.015,-0.321,0.52,4.01
A ,1.0,0.5,True,bear,84,60.7,81.0,72.6,22.6,-0.434,-0.017,0.49,4.01
A ,1.0,1.01,False,оба,230,59.1,79.1,65.2,23.9,-0.248,-0.235,0.59,3.81
A ,1.0,1.01,False,bull,130,58.5,78.5,61.5,24.6,-0.069,-0.339,0.58,3.43
A ,1.0,1.01,False,bear,100,60.0,80.0,70.0,23.0,-0.482,-0.099,0.59,3.99
A ,1.0,1.01,True,оба,213,59.2,79.3,65.3,24.9,-0.189,-0.19,0.58,3.72
A ,1.0,1.01,True,bull,125,58.4,78.4,60.8,25.6,-0.022,-0.303,0.58,2.99
A ,1.0,1.01,True,bear,88,60.2,80.7,71.6,23.9,-0.426,-0.03,0.57,3.99
B ,0.3,0.25,False,оба,244,50.0,71.7,55.3,18.9,-0.126,-0.216,0.38,6.23
B ,0.3,0.25,False,bull,111,56.8,72.1,57.7,18.9,-0.125,-0.244,0.39,5.43
B ,0.3,0.25,False,bear,133,44.4,71.4,53.4,18.8,-0.126,-0.192,0.38,6.75
B ,0.3,0.25,True,оба,200,48.0,70.0,55.0,19.0,-0.067,-0.262,0.39,6.07
B ,0.3,0.25,True,bull,90,54.4,71.1,57.8,18.9,-0.067,-0.318,0.4,5.22
B ,0.3,0.25,True,bear,110,42.7,69.1,52.7,19.1,-0.067,-0.216,0.38,6.71
B ,0.3,0.5,False,оба,470,45.3,64.9,45.7,20.2,-0.12,-0.204,0.46,5.2
B ,0.3,0.5,False,bull,225,48.4,63.6,45.8,20.9,-0.148,-0.258,0.48,4.67
B ,0.3,0.5,False,bear,245,42.4,66.1,45.7,19.6,-0.095,-0.156,0.43,5.63
B ,0.3,0.5,True,оба,378,44.7,65.9,46.0,21.2,-0.09,-0.179,0.46,4.93
B ,0.3,0.5,True,bull,181,48.1,65.2,46.4,22.1,-0.126,-0.252,0.5,4.4
B ,0.3,0.5,True,bear,197,41.6,66.5,45.7,20.3,-0.058,-0.112,0.42,5.63
B ,0.3,1.01,False,оба,699,39.8,57.8,39.1,20.5,-0.226,-0.242,0.48,4.66
B ,0.3,1.01,False,bull,346,43.1,56.6,39.9,22.3,-0.215,-0.267,0.53,4.31
B ,0.3,1.01,False,bear,353,36.5,58.9,38.2,18.7,-0.236,-0.218,0.46,5.17
B ,0.3,1.01,True,оба,577,39.9,58.9,39.5,21.7,-0.19,-0.209,0.49,4.42
B ,0.3,1.01,True,bull,289,42.9,57.8,39.8,23.5,-0.201,-0.25,0.54,3.84
B ,0.3,1.01,True,bear,288,36.8,60.1,39.2,19.8,-0.179,-0.168,0.46,5.08
B ,0.5,0.25,False,оба,202,49.0,72.8,59.4,16.8,-0.273,-0.281,0.39,6.04
B ,0.5,0.25,False,bull,92,57.6,73.9,63.0,15.2,-0.308,-0.361,0.4,5.3
B ,0.5,0.25,False,bear,110,41.8,71.8,56.4,18.2,-0.245,-0.214,0.39,6.51
B ,0.5,0.25,True,оба,169,47.9,71.6,59.2,17.2,-0.221,-0.339,0.39,5.94
B ,0.5,0.25,True,bear,92,39.1,68.5,55.4,17.4,-0.273,-0.287,0.39,6.37
B ,0.5,0.5,False,оба,363,47.1,68.6,50.7,19.8,-0.185,-0.196,0.47,4.95
B ,0.5,0.5,False,bull,178,50.0,65.2,50.0,19.1,-0.232,-0.316,0.49,4.66
B ,0.5,0.5,False,bear,185,44.3,71.9,51.4,20.5,-0.139,-0.081,0.44,5.5
B ,0.5,0.5,True,оба,303,46.9,69.6,51.2,21.5,-0.098,-0.163,0.48,4.69
B ,0.5,0.5,True,bull,147,51.7,68.7,51.7,21.8,-0.112,-0.271,0.5,4.38
B ,0.5,0.5,True,bear,156,42.3,70.5,50.6,21.2,-0.085,-0.061,0.45,5.41
B ,0.5,1.01,False,оба,514,42.2,62.5,44.0,20.6,-0.263,-0.233,0.5,4.47
B ,0.5,1.01,False,bull,260,45.4,60.0,43.8,21.9,-0.251,-0.27,0.53,4.07
B ,0.5,1.01,False,bear,254,39.0,65.0,44.1,19.3,-0.275,-0.195,0.47,4.77
B ,0.5,1.01,True,оба,442,42.5,63.3,44.3,22.4,-0.186,-0.201,0.51,4.21
B ,0.5,1.01,True,bull,224,46.9,62.5,44.6,24.6,-0.15,-0.225,0.53,3.72
B ,0.5,1.01,True,bear,218,38.1,64.2,44.0,20.2,-0.223,-0.176,0.48,4.68
B ,0.75,0.25,False,оба,146,52.7,79.5,68.5,17.8,-0.211,-0.242,0.39,5.96
B ,0.75,0.25,False,bear,80,43.8,76.2,66.2,18.8,-0.232,-0.264,0.38,6.37
B ,0.75,0.25,True,оба,127,50.4,78.0,66.9,18.9,-0.149,-0.315,0.38,5.43
B ,0.75,0.5,False,оба,245,49.8,73.9,58.4,19.6,-0.232,-0.178,0.49,4.68
B ,0.75,0.5,False,bull,121,53.7,71.9,57.0,18.2,-0.269,-0.267,0.53,4.45
B ,0.75,0.5,False,bear,124,46.0,75.8,59.7,21.0,-0.195,-0.091,0.46,4.97
B ,0.75,0.5,True,оба,214,48.6,73.8,57.9,21.0,-0.161,-0.188,0.47,4.6
B ,0.75,0.5,True,bull,106,54.7,74.5,57.5,20.8,-0.13,-0.27,0.52,4.32
B ,0.75,0.5,True,bear,108,42.6,73.1,58.3,21.3,-0.192,-0.107,0.45,4.91
B ,0.75,1.01,False,оба,305,48.2,70.8,55.1,21.6,-0.246,-0.18,0.52,4.32
B ,0.75,1.01,False,bull,162,50.6,67.9,51.9,21.6,-0.269,-0.238,0.58,3.56
B ,0.75,1.01,False,bear,143,45.5,74.1,58.7,21.7,-0.22,-0.115,0.47,4.67
B ,0.75,1.01,True,оба,272,47.4,71.0,54.8,23.2,-0.183,-0.179,0.51,4.12
B ,0.75,1.01,True,bull,146,51.4,69.9,52.1,24.0,-0.159,-0.228,0.58,3.37
B ,0.75,1.01,True,bear,126,42.9,72.2,57.9,22.2,-0.211,-0.123,0.47,4.61
B ,1.0,0.25,False,оба,98,58.2,82.7,72.4,18.4,-0.25,-0.21,0.46,4.55
B ,1.0,0.25,True,оба,85,57.6,81.2,71.8,21.2,-0.084,-0.25,0.46,4.43
B ,1.0,0.5,False,оба,146,56.8,82.2,66.4,20.5,-0.263,-0.162,0.52,4.38
B ,1.0,0.5,True,оба,126,57.9,83.3,68.3,23.0,-0.132,-0.153,0.52,4.2
B ,1.0,1.01,False,оба,177,54.2,78.0,61.0,22.0,-0.288,-0.205,0.55,3.71
B ,1.0,1.01,False,bull,101,55.4,75.2,58.4,22.8,-0.244,-0.236,0.63,2.98
B ,1.0,1.01,True,оба,157,54.8,78.3,61.8,24.2,-0.185,-0.202,0.54,3.65
B ,1.0,1.01,True,bull,93,57.0,77.4,59.1,24.7,-0.158,-0.215,0.61,2.84
C ,0.3,0.25,False,оба,105,53.3,69.5,52.4,27.6,-0.046,-0.001,0.67,3.67
C ,0.3,0.25,True,оба,88,52.3,71.6,51.1,28.4,-0.03,-0.013,0.67,3.57
C ,0.3,0.5,False,оба,265,49.8,64.9,50.6,29.1,-0.045,-0.034,0.76,3.18
C ,0.3,0.5,False,bull,113,50.4,61.9,46.9,35.4,0.073,0.025,0.85,2.93
C ,0.3,0.5,False,bear,152,49.3,67.1,53.3,24.3,-0.133,-0.078,0.71,3.44
C ,0.3,0.5,True,оба,220,50.0,67.3,51.4,31.4,0.018,0.033,0.79,2.99
C ,0.3,0.5,True,bull,95,52.6,65.3,48.4,40.0,0.211,0.151,0.83,2.76
C ,0.3,0.5,True,bear,125,48.0,68.8,53.6,24.8,-0.128,-0.057,0.72,3.26
C ,0.3,1.01,False,оба,453,45.3,63.1,45.0,29.8,-0.091,0.001,0.83,2.85
C ,0.3,1.01,False,bull,214,48.6,62.6,45.8,37.9,0.106,0.098,0.91,2.61
C ,0.3,1.01,False,bear,239,42.3,63.6,44.4,22.6,-0.267,-0.087,0.76,3.17
C ,0.3,1.01,True,оба,382,45.5,64.1,45.0,31.2,-0.06,0.018,0.84,2.75
C ,0.3,1.01,True,bull,182,49.5,62.6,44.5,40.1,0.167,0.116,0.91,2.47
C ,0.3,1.01,True,bear,200,42.0,65.5,45.5,23.0,-0.267,-0.071,0.78,3.0
C ,0.5,0.25,False,оба,93,52.7,68.8,55.9,25.8,-0.15,-0.039,0.71,3.63
C ,0.5,0.5,False,оба,219,53.0,67.6,54.8,29.7,-0.08,-0.042,0.79,3.03
C ,0.5,0.5,False,bull,99,53.5,65.7,50.5,36.4,0.117,0.037,0.82,2.88
C ,0.5,0.5,False,bear,120,52.5,69.2,58.3,24.2,-0.242,-0.107,0.76,3.24
C ,0.5,0.5,True,оба,187,51.9,68.4,54.5,32.1,0.001,0.021,0.79,2.96
C ,0.5,0.5,True,bull,86,54.7,67.4,51.2,40.7,0.258,0.146,0.82,2.78
C ,0.5,0.5,True,bear,101,49.5,69.3,57.4,24.8,-0.218,-0.085,0.78,3.17
C ,0.5,1.01,False,оба,343,48.4,65.9,49.6,30.9,-0.113,-0.012,0.87,2.73
C ,0.5,1.01,False,bull,169,51.5,64.5,48.5,39.6,0.142,0.056,0.91,2.5
C ,0.5,1.01,False,bear,174,45.4,67.2,50.6,22.4,-0.36,-0.079,0.8,2.98
C ,0.5,1.01,True,оба,300,47.3,65.7,48.7,32.0,-0.088,-0.01,0.89,2.65
C ,0.5,1.01,True,bull,149,51.7,64.4,47.0,41.6,0.196,0.074,0.91,2.44
C ,0.5,1.01,True,bear,151,43.0,66.9,50.3,22.5,-0.369,-0.092,0.82,2.83
C ,0.75,0.5,False,оба,152,59.9,73.0,63.8,34.2,0.024,0.113,0.77,2.86
C ,0.75,0.5,False,bear,81,59.3,74.1,69.1,27.2,-0.194,0.036,0.78,3.13
C ,0.75,0.5,True,оба,134,58.2,73.1,63.4,35.8,0.071,0.151,0.79,2.77
C ,0.75,1.01,False,оба,217,57.6,72.8,60.8,37.8,0.073,0.121,0.89,2.48
C ,0.75,1.01,False,bull,113,60.2,72.6,57.5,46.9,0.331,0.22,0.91,2.22
C ,0.75,1.01,False,bear,104,54.8,73.1,64.4,27.9,-0.207,0.013,0.82,2.72
C ,0.75,1.01,True,оба,193,56.0,73.1,60.6,38.3,0.074,0.125,0.9,2.44
C ,0.75,1.01,True,bull,102,59.8,73.5,56.9,49.0,0.398,0.25,0.91,2.14
C ,0.75,1.01,True,bear,91,51.6,72.5,64.8,26.4,-0.288,-0.015,0.84,2.67
C ,1.0,0.5,False,оба,93,65.6,79.6,67.7,37.6,0.111,0.177,0.78,2.6
C ,1.0,0.5,True,оба,83,65.1,80.7,68.7,39.8,0.192,0.232,0.79,2.6
C ,1.0,1.01,False,оба,131,62.6,80.2,62.6,40.5,0.125,0.128,0.9,2.27
C ,1.0,1.01,True,оба,118,61.9,81.4,63.6,41.5,0.145,0.143,0.91,2.13
D ,0.3,0.25,False,оба,320,55.6,72.8,55.6,35.0,0.044,0.048,0.95,2.48
D ,0.3,0.25,False,bull,157,54.8,72.6,54.8,33.8,-0.013,-0.12,1.01,2.29
D ,0.3,0.25,False,bear,163,56.4,73.0,56.4,36.2,0.098,0.21,0.88,2.66
D ,0.3,0.25,True,оба,273,53.8,70.7,53.8,33.7,-0.061,-0.009,1.0,2.4
